STATE,Average Temperature (°F) ranking,Poverty ranking,Landifills ranking,number of pest companies ranking,cockroach search Volume ranking,Overall
Tennessee,13,9,2,37,7,1
Texas,4,16,3,47,2,2
Kentucky,15,5,20,24,9,3
Mississippi,5,1,28,26,15,4
California,9,20,1,44,1,4
Georgia,7,10,9,46,5,5
West Virginia,21,4,31,10,12,6
North Carolina,12,15,4,43,4,6
Louisiana,3,2,22,40,12,7
South Carolina,8,11,18,35,9,8
Florida,2,19,10,48,2,8
Missouri,17,18,5,36,7,9
Alabama,6,7,19,41,11,10
Oklahoma,10,8,22,34,10,10
Arkansas,11,6,29,27,13,11
Arizona,4,14,20,42,7,12
Indiana,24,21,7,31,5,13
New Mexico,22,3,33,17,14,14
Nevada,14,26,28,16,11,15
Ohio,27,17,12,38,3,16
Illinois,25,24,6,39,3,16
Michigan,36,12,14,33,4,17
Pennsylvania,30,27,11,29,3,18
New York,34,13,8,45,2,19
Kansas,18,30,13,31,11,20
Virginia,16,41,11,32,4,21
Hawaii,1,46,34,13,12,22
Oregon,26,22,30,20,9,23
Delaware,20,32,39,9,15,24
Wisconsin,40,34,15,18,8,24
Nebraska,29,37,24,14,11,24
Washington,28,40,16,25,6,24
Montana,42,23,26,7,18,25
Iowa,35,33,18,21,9,25
Idaho,37,28,25,12,15,26
Rhode Island,32,29,38,8,13,27
New Jersey,23,43,27,23,4,27
Utah,31,48,16,15,10,27
South Dakota,39,25,36,6,16,28
Maryland,19,49,18,30,7,29
Maine,45,31,32,3,13,30
Massachusetts,35,42,17,28,4,31
New Hampshire,41,50,18,5,12,31
Colorado,38,45,21,19,8,32
Minnesota,46,47,23,11,8,33
Vermont,43,38,36,2,17,34
Connecticut,33,44,30,22,8,35
Alaska,48,36,37,1,19,36
Wyoming,44,35,38,5,20,37
North Dakota,47,39,35,4,17,37
