STATE,Restaurants Ranking,Landifills ranking,Ranking fruit farms,number of pest companies ranking,Rats Search Volume Ranking,Overall
California,1,1,6,44,1,1
Texas,3,3,5,47,2,2
Pennsylvania,5,11,9,29,6,2
Illinois,6,6,5,39,5,3
Wisconsin,15,15,3,18,11,4
New York,2,8,4,45,4,5
Florida,4,10,1,48,3,6
North Carolina,8,4,5,43,7,7
Michigan,11,14,2,33,7,7
Washington,13,16,5,25,8,7
Ohio,7,12,5,38,7,8
Indiana,16,7,8,31,10,9
Massachusetts,12,17,10,28,7,10
Virginia,14,11,11,32,7,11
Tennessee,18,2,9,37,10,12
Minnesota,21,23,11,11,10,12
Georgia,10,9,6,46,6,13
New Jersey,9,27,12,23,6,13
Missouri,20,5,7,36,10,14
Colorado,17,21,13,19,10,15
Maryland,19,18,11,30,9,16
Utah,34,16,12,15,13,17
Oregon,22,30,10,20,11,18
Iowa,30,18,11,21,14,19
New Hampshire,42,18,12,5,17,19
Kansas,32,13,5,31,14,20
Kentucky,28,20,11,24,12,20
Maine,41,32,6,3,17,21
South Carolina,24,18,12,35,11,22
Nevada,31,28,14,16,12,23
Connecticut,27,30,11,22,12,24
Oklahoma,29,22,7,34,13,25
Nebraska,36,24,15,14,16,25
Idaho,39,25,12,12,17,25
Arizona,23,20,13,42,8,26
Alabama,26,19,10,41,12,27
Montana,44,26,12,7,19,27
Louisiana,25,22,10,40,12,28
West Virginia,40,31,12,10,16,28
Mississippi,35,28,12,26,15,29
Arkansas,33,29,12,27,15,29
New Mexico,38,33,13,17,16,30
Hawaii,37,34,17,13,17,31
Vermont,49,36,11,2,20,31
Rhode Island,43,38,12,8,17,31
North Dakota,47,35,16,4,19,32
South Dakota,46,36,14,6,19,32
Alaska,48,37,15,1,20,32
Delaware,45,39,10,9,18,32
Wyoming,50,38,15,5,21,33
