STATE,Average Temperature ranking,National Park Coverage ranking,Pet Ownership Ranking,number of pest companies ranking,Ticks Search Volume ranking,Overall
Kentucky,15,15,8,24,12,1
West Virginia,21,26,2,10,16,2
Wyoming,44,8,1,5,21,3
Washington,28,9,11,25,8,4
Maine,45,10,10,3,15,5
Florida,2,6,25,48,5,6
Delaware,20,16,24,9,18,7
Tennessee,13,17,15,37,9,8
Arizona,4,12,23,42,11,9
New Jersey,23,5,35,23,6,9
Utah,31,14,21,15,13,10
Vermont,43,28,3,2,18,10
California,9,3,39,44,1,11
Mississippi,5,43,6,26,16,11
Arkansas,11,38,5,27,16,12
Indiana,24,29,4,31,9,12
Michigan,36,11,13,33,4,12
South Carolina,8,31,14,35,12,13
North Carolina,12,18,20,43,8,14
Wisconsin,40,13,20,18,10,14
Connecticut,33,4,32,22,11,15
Texas,4,26,22,47,3,15
Montana,42,22,14,7,18,16
Pennsylvania,30,24,16,29,4,16
Oklahoma,10,41,7,34,13,17
Idaho,37,39,3,12,15,18
Virginia,16,25,26,32,7,18
Missouri,17,33,10,36,11,19
Nevada,14,35,28,16,15,20
New Hampshire,41,20,29,5,14,21
Oregon,26,32,19,20,12,21
Massachusetts,35,7,33,28,7,22
New Mexico,22,38,17,17,17,23
Maryland,19,21,34,30,9,24
Ohio,27,30,13,38,5,24
Alabama,6,40,18,41,13,25
North Dakota,47,37,9,4,21,25
Kansas,18,44,12,31,14,26
Illinois,25,19,34,39,5,27
Minnesota,46,27,27,11,11,27
Nebraska,29,34,30,14,15,27
Rhode Island,32,28,38,8,18,28
Iowa,35,37,20,21,13,29
Louisiana,3,42,27,40,14,29
Colorado,38,24,36,19,10,30
Georgia,7,36,31,46,8,31
South Dakota,39,30,37,6,20,32
New York,34,23,32,45,2,33
Alaska,48,2,,1,22,Not included
Hawaii,1,1,,13,19,Not included
